SITE NUMBER: 00100 RATED CAP:  464.3 IEC CLASS: 1 LOSSES (%): 16.8
SITE LATITUDE:   37.55192 LONGITUDE:  -99.80723
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,7.89,133.25
20040101,0020,8.03,133.87
20040101,0030,8.21,146.48
20040101,0040,8.47,153.29
20040101,0050,8.64,160.13
20040101,0100,8.96,164.78
20040101,0110,9.43,187.58
20040101,0120,10.13,226.47
20040101,0130,10.74,258.07
20040101,0140,11.23,278.69
20040101,0150,11.54,295.04
20040101,0200,11.78,310.76
20040101,0210,12.09,324.30
20040101,0220,12.10,333.95
20040101,0230,12.01,326.22
20040101,0240,11.92,325.47
20040101,0250,12.06,316.66
20040101,0300,12.43,323.75
20040101,0310,12.51,324.28
20040101,0320,12.61,331.15
20040101,0330,12.80,335.84
20040101,0340,12.88,338.97
20040101,0350,12.98,341.23
20040101,0400,13.24,348.22
20040101,0410,13.50,352.33
20040101,0420,13.59,356.75
20040101,0430,13.48,355.36
20040101,0440,13.28,351.57
20040101,0450,13.11,348.76
20040101,0500,12.98,343.63
20040101,0510,12.92,343.14
20040101,0520,12.96,347.59
20040101,0530,12.98,348.15
20040101,0540,13.03,350.42
20040101,0550,13.14,352.70
20040101,0600,13.36,356.58
20040101,0610,13.63,361.45
20040101,0620,13.93,364.54
20040101,0630,14.14,367.66
20040101,0640,14.37,368.87
20040101,0650,14.50,370.88
20040101,0700,14.68,371.97
20040101,0710,14.73,365.26
20040101,0720,14.70,365.88
20040101,0730,14.71,365.58
20040101,0740,14.75,365.46
20040101,0750,14.76,366.30
20040101,0800,14.77,366.83
20040101,0810,14.67,366.86
20040101,0820,14.53,366.27
20040101,0830,14.46,366.79
20040101,0840,14.26,368.08
20040101,0850,14.01,364.35
20040101,0900,13.76,361.51
20040101,0910,13.59,358.30
20040101,0920,13.38,355.52
20040101,0930,13.32,354.22
20040101,0940,13.29,358.89
20040101,0950,13.18,356.36
20040101,1000,13.08,351.97
20040101,1010,12.77,349.51
20040101,1020,12.47,325.75
20040101,1030,12.18,312.17
20040101,1040,11.99,302.70
20040101,1050,11.82,291.20
20040101,1100,11.61,284.59
20040101,1110,11.42,270.32
20040101,1120,11.23,245.03
20040101,1130,10.94,232.80
20040101,1140,10.72,219.36
20040101,1150,10.50,232.92
20040101,1200,10.60,228.00
20040101,1210,10.75,239.86
20040101,1220,10.91,247.39
20040101,1230,11.03,247.17
20040101,1240,11.21,254.33
20040101,1250,11.33,263.63
20040101,1300,10.97,239.97
20040101,1310,10.62,218.69
20040101,1320,10.20,190.62
20040101,1330,10.03,181.56
20040101,1340,10.06,194.84
20040101,1350,10.17,197.44
20040101,1400,10.01,188.30
20040101,1410,9.78,173.96
20040101,1420,9.62,164.62
20040101,1430,9.73,172.50
20040101,1440,10.15,192.83
20040101,1450,10.59,221.88
20040101,1500,10.94,240.66
20040101,1510,11.19,256.04
20040101,1520,11.23,258.75
20040101,1530,11.00,243.69
20040101,1540,10.74,226.07
20040101,1550,10.41,202.93
20040101,1600,9.96,177.50
20040101,1610,9.52,157.85
20040101,1620,9.31,145.18
20040101,1630,9.46,152.60
20040101,1640,9.60,166.80
20040101,1650,9.35,148.93
20040101,1700,8.92,128.03
20040101,1710,8.64,117.92
20040101,1720,8.58,122.85
20040101,1730,8.56,116.83
20040101,1740,8.40,108.39
20040101,1750,8.11,94.39
20040101,1800,7.57,73.97
20040101,1810,6.97,55.83
20040101,1820,6.28,34.73
20040101,1830,5.62,25.33
20040101,1840,5.04,25.31
20040101,1850,4.70,25.29
20040101,1900,4.27,25.26
20040101,1910,3.75,25.24
20040101,1920,3.34,25.22
20040101,1930,3.00,25.19
20040101,1940,2.76,25.16
20040101,1950,2.60,25.13
20040101,2000,2.52,25.10
20040101,2010,2.43,25.07
20040101,2020,2.37,25.03
20040101,2030,2.38,25.00
20040101,2040,2.44,24.97
20040101,2050,2.51,24.94
20040101,2100,2.68,24.90
20040101,2110,2.92,24.86
20040101,2120,3.09,24.83
20040101,2130,3.21,24.79
20040101,2140,3.17,24.75
20040101,2150,3.09,24.72
20040101,2200,2.85,24.68
20040101,2210,2.73,24.64
20040101,2220,2.66,24.71
20040101,2230,2.41,24.56
20040101,2240,2.28,24.52
20040101,2250,2.23,24.54
20040101,2300,2.34,24.50
20040101,2310,2.45,24.55
20040101,2320,2.71,24.91
20040101,2330,2.73,24.95
20040101,2340,2.38,24.29
20040101,2350,2.16,24.26
20040102,0000,2.55,24.28
20040102,0010,3.24,25.60
20040102,0020,3.75,29.66
20040102,0030,4.22,34.49
20040102,0040,4.74,41.00
20040102,0050,5.28,48.51
20040102,0100,6.06,65.06
20040102,0110,6.85,87.11
20040102,0120,7.59,110.70
20040102,0130,7.87,118.63
20040102,0140,8.17,122.59
20040102,0150,8.36,129.26
20040102,0200,8.29,124.67
20040102,0210,8.14,117.33
20040102,0220,8.01,111.31
20040102,0230,8.04,113.73
20040102,0240,7.99,110.24
20040102,0250,7.92,108.64
20040102,0300,8.33,124.66
20040102,0310,9.06,160.12
20040102,0320,9.45,181.00
20040102,0330,9.39,180.03
20040102,0340,9.10,166.49
20040102,0350,9.10,165.87
20040102,0400,9.12,169.39
20040102,0410,9.19,173.85
20040102,0420,9.62,197.96
20040102,0430,10.13,224.61
20040102,0440,10.51,257.04
20040102,0450,10.91,282.27
20040102,0500,10.90,281.92
20040102,0510,11.56,321.28
20040102,0520,12.09,343.16
20040102,0530,12.41,361.57
20040102,0540,12.76,373.64
20040102,0550,12.89,385.16
20040102,0600,12.96,391.70
20040102,0610,12.87,388.45
20040102,0620,12.66,381.85
20040102,0630,12.70,386.01
20040102,0640,13.01,395.24
20040102,0650,13.22,400.21
20040102,0700,13.35,410.31
20040102,0710,13.44,416.75
20040102,0720,13.32,412.69
20040102,0730,13.08,409.73
20040102,0740,12.94,404.82
20040102,0750,12.69,393.24
20040102,0800,12.42,390.38
20040102,0810,12.22,383.43
20040102,0820,12.21,379.51
20040102,0830,12.34,380.48
20040102,0840,12.43,384.58
20040102,0850,12.47,386.10
20040102,0900,12.57,389.19
20040102,0910,12.83,395.14
20040102,0920,12.95,401.49
20040102,0930,13.05,394.38
20040102,0940,13.20,395.47
20040102,0950,13.28,398.73
20040102,1000,13.32,402.07
20040102,1010,13.19,394.59
20040102,1020,12.99,384.42
20040102,1030,12.86,372.32
20040102,1040,12.70,363.35
20040102,1050,12.63,359.75
20040102,1100,12.69,363.79
20040102,1110,12.74,366.97
20040102,1120,12.71,367.38
20040102,1130,12.62,360.69
20040102,1140,12.58,358.84
20040102,1150,12.46,357.43
20040102,1200,12.44,362.91
20040102,1210,12.26,340.71
20040102,1220,12.30,351.47
20040102,1230,12.12,347.99
20040102,1240,12.11,342.88
20040102,1250,12.01,331.70
20040102,1300,11.99,347.33
20040102,1310,11.98,347.56
20040102,1320,11.88,336.48
20040102,1330,12.03,346.13
20040102,1340,12.03,346.38
20040102,1350,12.14,353.63
20040102,1400,12.23,358.11
20040102,1410,12.32,358.21
20040102,1420,12.42,366.71
20040102,1430,12.52,369.21
20040102,1440,12.54,377.66
20040102,1450,12.51,373.69
20040102,1500,12.36,366.08
20040102,1510,11.92,337.97
20040102,1520,11.61,315.50
20040102,1530,11.35,302.59
20040102,1540,11.07,288.77
20040102,1550,10.88,287.91
20040102,1600,10.58,270.17
20040102,1610,10.20,247.49
20040102,1620,9.84,228.08
20040102,1630,9.57,217.68
20040102,1640,9.45,212.52
20040102,1650,9.40,206.22
20040102,1700,9.42,206.59
20040102,1710,9.23,197.42
20040102,1720,9.11,189.28
20040102,1730,9.18,192.77
20040102,1740,9.16,191.36
20040102,1750,9.14,184.00
20040102,1800,9.07,187.05
20040102,1810,9.05,183.13
20040102,1820,9.11,176.67
20040102,1830,8.97,169.02
20040102,1840,8.71,159.55
20040102,1850,8.37,143.88
20040102,1900,8.03,125.99
20040102,1910,7.72,116.47
20040102,1920,7.26,92.51
20040102,1930,6.64,80.40
20040102,1940,6.08,63.86
20040102,1950,5.77,55.03
20040102,2000,5.38,47.54
20040102,2010,5.06,39.08
20040102,2020,4.80,33.63
20040102,2030,4.53,27.35
20040102,2040,4.16,23.17
20040102,2050,3.79,21.64
20040102,2100,3.58,21.60
20040102,2110,3.51,21.56
20040102,2120,3.50,21.73
20040102,2130,3.39,21.47
20040102,2140,3.22,21.43
20040102,2150,2.97,21.38
20040102,2200,2.67,21.34
20040102,2210,2.30,21.29
20040102,2220,1.96,21.25
20040102,2230,1.82,21.20
20040102,2240,1.95,21.16
20040102,2250,2.25,21.27
20040102,2300,2.58,21.84
20040102,2310,3.06,22.94
20040102,2320,3.62,25.28
20040102,2330,4.33,31.29
20040102,2340,5.10,41.01
20040102,2350,5.75,49.95
20040103,0000,6.14,56.88
20040103,0010,6.46,65.95
20040103,0020,7.01,78.60
20040103,0030,7.25,82.42
20040103,0040,7.76,97.86
20040103,0050,8.14,107.41
20040103,0100,9.71,171.55
20040103,0110,10.30,200.16
20040103,0120,10.13,183.11
20040103,0130,9.62,169.77
20040103,0140,8.98,138.55
20040103,0150,8.64,124.08
