"file" "distance"
"/home/sat/work/winddata//SITE_00005.CSV" 0.1838171017615
"/home/sat/work/winddata//SITE_00019.CSV" 0.272590939871451
"/home/sat/work/winddata//SITE_00190.CSV" 0.390607512088552
"/home/sat/work/winddata//SITE_00286.CSV" 0.486172752115963
"/home/sat/work/winddata//SITE_00055.CSV" 0.56270335248691
"/home/sat/work/winddata//SITE_00065.CSV" 0.655050619799719
"/home/sat/work/winddata//SITE_00020.CSV" 0.734117457155187
"/home/sat/work/winddata//SITE_00206.CSV" 0.874084532410919
"/home/sat/work/winddata//SITE_00304.CSV" 0.909636087949467
"/home/sat/work/winddata//SITE_00013.CSV" 0.943481094776153
"/home/sat/work/winddata//SITE_00057.CSV" 1.0133175441588
"/home/sat/work/winddata//SITE_00071.CSV" 1.12204404057951
"/home/sat/work/winddata//SITE_00221.CSV" 1.2152660851435
"/home/sat/work/winddata//SITE_00172.CSV" 1.23353975760816
"/home/sat/work/winddata//SITE_00025.CSV" 1.27692033463329
"/home/sat/work/winddata//SITE_00182.CSV" 1.3652278601391
"/home/sat/work/winddata//SITE_00218.CSV" 1.38349966628113
"/home/sat/work/winddata//SITE_00302.CSV" 1.39301521172599
"/home/sat/work/winddata//SITE_00191.CSV" 1.4809567923812
"/home/sat/work/winddata//SITE_00091.CSV" 1.58516745184855
"/home/sat/work/winddata//SITE_00163.CSV" 1.66298344098791
"/home/sat/work/winddata//SITE_00257.CSV" 1.69474435573628
"/home/sat/work/winddata//SITE_00285.CSV" 1.71239424750845
"/home/sat/work/winddata//SITE_00031.CSV" 1.80789811858965
"/home/sat/work/winddata//SITE_00307.CSV" 1.82973684719962
"/home/sat/work/winddata//SITE_00135.CSV" 1.9098331347267
"/home/sat/work/winddata//SITE_00227.CSV" 1.92030537865726
"/home/sat/work/winddata//SITE_00327.CSV" 2.02383435339951
"/home/sat/work/winddata//SITE_00045.CSV" 2.09526327133369
"/home/sat/work/winddata//SITE_00018.CSV" 2.14408256193645
"/home/sat/work/winddata//SITE_00021.CSV" 2.16275245171517
