SITE NUMBER: 00296 RATED CAP:  318.7 IEC CLASS: 2 LOSSES (%): 17.6
SITE LATITUDE:   38.14277 LONGITUDE:  -96.43710
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,6.80,82.07
20040101,0020,6.93,82.81
20040101,0030,6.68,74.97
20040101,0040,6.86,78.09
20040101,0050,7.24,85.96
20040101,0100,7.43,90.52
20040101,0110,7.67,97.38
20040101,0120,7.99,104.43
20040101,0130,8.29,110.86
20040101,0140,8.64,126.76
20040101,0150,9.13,142.83
20040101,0200,9.44,164.89
20040101,0210,9.51,165.13
20040101,0220,9.72,179.57
20040101,0230,10.11,198.79
20040101,0240,10.51,221.91
20040101,0250,10.71,229.25
20040101,0300,10.81,219.13
20040101,0310,10.79,216.95
20040101,0320,10.82,222.30
20040101,0330,10.79,221.34
20040101,0340,10.64,216.51
20040101,0350,10.56,216.56
20040101,0400,10.55,213.04
20040101,0410,10.60,215.90
20040101,0420,10.76,215.32
20040101,0430,10.93,225.22
20040101,0440,11.10,227.22
20040101,0450,11.32,235.71
20040101,0500,11.57,243.05
20040101,0510,11.81,235.03
20040101,0520,11.99,249.15
20040101,0530,12.05,249.86
20040101,0540,12.09,249.97
20040101,0550,12.13,252.56
20040101,0600,12.29,252.92
20040101,0610,12.48,255.44
20040101,0620,12.66,256.23
20040101,0630,12.80,257.54
20040101,0640,12.88,258.01
20040101,0650,12.89,258.49
20040101,0700,12.85,259.21
20040101,0710,12.75,259.00
20040101,0720,12.76,258.82
20040101,0730,12.77,259.28
20040101,0740,12.78,258.86
20040101,0750,12.79,259.05
20040101,0800,12.93,260.07
20040101,0810,13.11,261.23
20040101,0820,13.28,261.71
20040101,0830,13.32,262.10
20040101,0840,13.26,262.14
20040101,0850,13.15,262.15
20040101,0900,13.10,262.35
20040101,0910,13.09,262.44
20040101,0920,13.06,262.73
20040101,0930,13.03,260.11
20040101,0940,12.97,259.58
20040101,0950,12.87,263.20
20040101,1000,12.66,262.20
20040101,1010,12.39,260.73
20040101,1020,12.09,250.54
20040101,1030,11.81,248.38
20040101,1040,11.77,246.55
20040101,1050,11.84,244.74
20040101,1100,12.03,247.00
20040101,1110,12.27,248.74
20040101,1120,12.48,249.10
20040101,1130,12.61,249.57
20040101,1140,12.72,249.08
20040101,1150,12.95,249.89
20040101,1200,13.24,250.75
20040101,1210,13.42,251.86
20040101,1220,13.66,252.56
20040101,1230,13.97,253.40
20040101,1240,14.17,254.24
20040101,1250,14.48,273.73
20040101,1300,14.55,274.27
20040101,1310,15.01,274.52
20040101,1320,14.55,274.94
20040101,1330,14.65,266.74
20040101,1340,14.60,253.37
20040101,1350,14.44,253.68
20040101,1400,13.93,253.55
20040101,1410,14.09,253.59
20040101,1420,13.84,253.43
20040101,1430,14.64,254.29
20040101,1440,15.08,254.40
20040101,1450,15.03,254.37
20040101,1500,15.24,271.99
20040101,1510,15.07,272.18
20040101,1520,15.11,272.50
20040101,1530,15.53,267.01
20040101,1540,14.97,267.48
20040101,1550,14.70,268.06
20040101,1600,14.96,269.04
20040101,1610,15.28,269.71
20040101,1620,15.40,273.78
20040101,1630,15.51,274.05
20040101,1640,15.50,274.55
20040101,1650,15.37,275.06
20040101,1700,15.29,289.02
20040101,1710,15.08,289.17
20040101,1720,14.77,289.10
20040101,1730,14.38,269.80
20040101,1740,14.03,286.29
20040101,1750,13.76,285.85
20040101,1800,13.60,284.93
20040101,1810,13.44,283.80
20040101,1820,13.35,282.94
20040101,1830,13.25,281.93
20040101,1840,13.22,281.76
20040101,1850,13.02,279.92
20040101,1900,12.88,277.83
20040101,1910,12.81,276.12
20040101,1920,12.63,275.12
20040101,1930,12.34,270.43
20040101,1940,12.00,261.56
20040101,1950,11.73,262.47
20040101,2000,11.38,243.74
20040101,2010,11.00,232.44
20040101,2020,10.56,209.39
20040101,2030,9.94,180.09
20040101,2040,9.43,159.35
20040101,2050,8.95,115.04
20040101,2100,8.49,101.27
20040101,2110,8.15,89.34
20040101,2120,7.88,79.24
20040101,2130,7.59,72.15
20040101,2140,7.23,57.75
20040101,2150,7.02,52.63
20040101,2200,6.93,47.73
20040101,2210,6.81,46.87
20040101,2220,6.67,37.88
20040101,2230,6.69,33.35
20040101,2240,6.65,31.58
20040101,2250,6.54,29.35
20040101,2300,6.54,26.89
20040101,2310,6.55,24.78
20040101,2320,6.35,19.22
20040101,2330,6.25,17.55
20040101,2340,6.31,18.15
20040101,2350,6.72,28.47
20040102,0000,6.37,24.18
20040102,0010,6.18,17.70
20040102,0020,5.84,17.74
20040102,0030,5.83,17.78
20040102,0040,5.42,17.82
20040102,0050,5.19,17.86
20040102,0100,5.08,17.90
20040102,0110,4.86,17.95
