SITE NUMBER: 00085 RATED CAP:  356.0 IEC CLASS: 2 LOSSES (%): 16.9
SITE LATITUDE:   42.72654 LONGITUDE: -100.16034
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,12.20,342.01
20040101,0020,12.46,340.66
20040101,0030,12.75,340.25
20040101,0040,12.85,345.32
20040101,0050,12.89,345.32
20040101,0100,12.65,340.67
20040101,0110,12.73,340.02
20040101,0120,13.11,340.88
20040101,0130,13.49,339.07
20040101,0140,13.65,335.09
20040101,0150,13.52,334.42
20040101,0200,12.99,332.48
20040101,0210,12.51,323.68
20040101,0220,12.39,318.16
20040101,0230,12.54,320.20
20040101,0240,13.04,321.56
20040101,0250,13.27,322.13
20040101,0300,13.49,322.25
20040101,0310,13.56,321.47
20040101,0320,13.54,321.19
20040101,0330,13.29,321.31
20040101,0340,13.08,321.26
20040101,0350,13.09,321.17
20040101,0400,13.24,321.43
20040101,0410,13.43,321.56
20040101,0420,13.61,322.08
20040101,0430,13.72,322.10
20040101,0440,13.61,329.94
20040101,0450,13.52,329.90
20040101,0500,13.50,329.87
20040101,0510,13.63,330.00
20040101,0520,13.87,330.17
20040101,0530,14.17,330.33
20040101,0540,14.47,330.24
20040101,0550,14.67,335.54
20040101,0600,14.79,335.37
20040101,0610,14.83,335.26
20040101,0620,14.75,335.26
20040101,0630,14.53,334.91
20040101,0640,14.28,334.42
20040101,0650,14.23,333.95
20040101,0700,14.38,333.57
20040101,0710,14.53,333.21
20040101,0720,14.56,341.69
20040101,0730,14.54,340.50
20040101,0740,14.51,339.74
20040101,0750,14.39,339.23
20040101,0800,14.14,338.42
20040101,0810,13.83,337.56
20040101,0820,13.67,337.07
20040101,0830,13.79,337.17
20040101,0840,13.93,325.99
20040101,0850,13.86,326.20
20040101,0900,13.69,326.51
20040101,0910,13.37,326.52
20040101,0920,13.25,326.63
20040101,0930,13.16,329.54
20040101,0940,12.98,330.53
20040101,0950,12.74,330.31
20040101,1000,12.44,328.08
20040101,1010,11.97,323.50
20040101,1020,11.52,311.64
20040101,1030,11.08,298.30
20040101,1040,10.86,282.48
20040101,1050,10.75,279.50
20040101,1100,10.65,281.01
20040101,1110,10.59,273.98
20040101,1120,10.60,272.80
20040101,1130,10.66,277.26
20040101,1140,10.60,272.06
20040101,1150,10.50,262.44
20040101,1200,10.70,274.64
20040101,1210,10.85,272.51
20040101,1220,10.96,271.72
20040101,1230,11.21,282.84
20040101,1240,11.38,285.92
20040101,1250,11.61,289.49
20040101,1300,12.73,317.16
20040101,1310,13.89,315.27
20040101,1320,14.52,316.30
20040101,1330,15.06,316.92
20040101,1340,15.44,317.20
20040101,1350,15.53,317.34
20040101,1400,15.82,317.42
20040101,1410,16.35,320.67
20040101,1420,16.52,320.85
20040101,1430,16.68,326.14
20040101,1440,16.91,326.31
20040101,1450,16.92,326.79
20040101,1500,16.81,327.08
20040101,1510,16.62,327.45
20040101,1520,16.36,327.84
20040101,1530,16.55,328.40
20040101,1540,17.07,328.81
20040101,1550,17.35,329.15
20040101,1600,17.32,329.24
20040101,1610,17.22,329.28
20040101,1620,17.19,329.24
20040101,1630,17.11,329.27
20040101,1640,17.01,324.46
20040101,1650,16.83,324.45
20040101,1700,16.52,324.47
20040101,1710,16.25,336.71
20040101,1720,16.20,336.77
20040101,1730,16.03,345.32
20040101,1740,16.03,345.32
20040101,1750,16.13,345.32
20040101,1800,16.20,345.32
20040101,1810,16.06,345.32
20040101,1820,16.07,345.32
20040101,1830,15.91,345.32
20040101,1840,15.64,345.32
20040101,1850,15.39,345.32
20040101,1900,15.04,345.32
20040101,1910,14.50,345.32
20040101,1920,13.99,344.42
20040101,1930,13.52,342.82
20040101,1940,12.95,338.20
20040101,1950,12.39,332.96
20040101,2000,11.87,317.95
20040101,2010,11.47,300.80
20040101,2020,11.04,282.57
20040101,2030,10.73,250.22
20040101,2040,10.44,236.11
20040101,2050,10.21,224.21
20040101,2100,10.01,213.32
20040101,2110,9.99,213.15
20040101,2120,9.91,206.72
