SITE NUMBER: 00034 RATED CAP: 1296.3 IEC CLASS: 2 LOSSES (%): 17.2
SITE LATITUDE:   35.48601 LONGITUDE: -101.25375
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,10.26,1148.45
20040101,0020,10.52,1165.72
20040101,0030,11.25,1242.89
20040101,0040,12.11,1257.41
20040101,0050,12.69,1257.41
20040101,0100,12.96,1257.41
20040101,0110,13.08,1219.21
20040101,0120,13.48,1188.27
20040101,0130,13.47,1162.21
20040101,0140,13.45,1145.86
20040101,0150,13.61,1146.47
20040101,0200,13.29,1145.11
20040101,0210,12.83,1137.80
20040101,0220,12.58,1133.32
20040101,0230,12.25,1117.91
20040101,0240,12.16,1118.17
20040101,0250,12.12,1114.29
20040101,0300,12.27,1116.43
20040101,0310,12.51,1120.05
20040101,0320,12.78,1121.25
20040101,0330,13.30,1124.19
20040101,0340,13.80,1130.95
20040101,0350,14.34,1131.39
20040101,0400,14.67,1136.47
20040101,0410,14.80,1136.13
20040101,0420,14.89,1099.12
20040101,0430,15.05,1099.65
20040101,0440,15.34,1098.62
20040101,0450,15.81,1103.36
20040101,0500,16.32,1106.13
20040101,0510,16.81,1108.80
20040101,0520,17.18,1108.94
20040101,0530,17.36,1108.65
20040101,0540,17.30,1108.06
20040101,0550,17.06,1157.56
20040101,0600,16.77,1157.09
20040101,0610,16.57,1156.16
20040101,0620,16.35,1156.48
20040101,0630,16.06,1155.59
20040101,0640,15.79,1155.46
20040101,0650,15.46,1153.85
20040101,0700,15.11,1152.95
20040101,0710,14.67,1152.08
20040101,0720,14.24,1149.02
20040101,0730,13.61,1167.55
20040101,0740,12.92,1141.94
20040101,0750,12.07,1090.09
20040101,0800,11.30,1010.37
20040101,0810,10.75,940.92
20040101,0820,10.56,885.48
20040101,0830,10.58,892.46
20040101,0840,10.63,878.77
20040101,0850,10.48,839.17
20040101,0900,10.16,788.10
20040101,0910,9.97,728.42
20040101,0920,10.13,758.27
20040101,0930,10.76,867.47
20040101,0940,11.55,963.75
20040101,0950,12.17,1021.39
20040101,1000,12.30,996.83
20040101,1010,12.12,982.12
20040101,1020,11.80,946.60
20040101,1030,11.43,899.44
20040101,1040,11.32,883.16
20040101,1050,11.10,854.37
20040101,1100,10.83,809.14
20040101,1110,10.47,748.20
20040101,1120,10.22,706.64
20040101,1130,10.24,755.90
20040101,1140,10.11,728.88
20040101,1150,10.25,728.71
20040101,1200,10.42,758.17
20040101,1210,10.58,808.06
20040101,1220,10.70,828.97
20040101,1230,10.94,870.79
20040101,1240,11.05,888.15
20040101,1250,11.25,910.09
20040101,1300,11.04,895.21
20040101,1310,10.72,829.10
20040101,1320,10.44,792.50
20040101,1330,10.18,753.20
20040101,1340,10.06,723.14
20040101,1350,9.97,717.19
20040101,1400,9.92,692.72
20040101,1410,9.93,702.59
20040101,1420,10.12,711.15
20040101,1430,10.35,739.60
20040101,1440,10.52,776.32
20040101,1450,10.73,811.66
20040101,1500,10.57,770.01
20040101,1510,9.94,662.26
20040101,1520,9.16,528.36
20040101,1530,8.82,474.49
20040101,1540,8.73,444.99
20040101,1550,8.68,427.41
20040101,1600,9.02,486.66
20040101,1610,9.59,574.68
20040101,1620,10.15,691.90
20040101,1630,10.44,758.81
20040101,1640,10.38,712.47
20040101,1650,10.05,675.04
20040101,1700,9.81,616.19
20040101,1710,9.62,581.73
20040101,1720,9.71,590.29
20040101,1730,9.93,639.00
20040101,1740,10.03,661.41
20040101,1750,10.19,673.97
20040101,1800,10.17,639.17
20040101,1810,10.12,655.16
20040101,1820,10.10,619.43
20040101,1830,9.77,577.04
20040101,1840,9.39,495.64
20040101,1850,8.99,447.19
20040101,1900,8.74,367.79
20040101,1910,8.56,352.77
20040101,1920,8.48,335.65
20040101,1930,8.37,299.07
20040101,1940,8.28,304.57
20040101,1950,8.21,285.21
20040101,2000,8.03,256.46
20040101,2010,7.86,218.38
20040101,2020,7.65,218.19
20040101,2030,7.38,217.99
20040101,2040,7.23,217.80
20040101,2050,7.08,217.62
20040101,2100,7.06,231.92
20040101,2110,7.19,242.99
20040101,2120,7.35,233.03
20040101,2130,7.74,307.99
20040101,2140,8.24,366.11
20040101,2150,8.78,451.52
20040101,2200,9.11,520.19
20040101,2210,9.19,540.92
20040101,2220,9.19,527.96
20040101,2230,9.56,577.57
20040101,2240,10.06,706.61
20040101,2250,10.44,774.67
20040101,2300,10.49,789.34
20040101,2310,10.30,745.58
20040101,2320,10.09,699.06
20040101,2330,10.10,707.26
20040101,2340,10.22,719.61
20040101,2350,10.30,760.76
20040102,0000,10.15,725.02
20040102,0010,10.19,727.84
20040102,0020,10.01,696.88
20040102,0030,9.79,664.76
20040102,0040,9.67,639.52
20040102,0050,9.54,619.63
20040102,0100,9.94,694.20
20040102,0110,10.63,836.18
20040102,0120,11.75,968.59
20040102,0130,12.61,996.76
20040102,0140,12.74,988.92
20040102,0150,12.74,969.53
20040102,0200,12.74,968.88
20040102,0210,12.67,967.55
20040102,0220,12.54,963.83
20040102,0230,12.64,968.30
20040102,0240,12.93,972.99
20040102,0250,13.23,955.59
20040102,0300,13.52,959.50
20040102,0310,13.61,961.50
20040102,0320,13.37,1007.51
20040102,0330,13.27,1009.23
20040102,0340,13.09,1006.64
20040102,0350,13.10,1011.22
20040102,0400,13.15,1012.22
20040102,0410,13.26,1014.72
20040102,0420,13.31,1015.58
20040102,0430,13.20,1014.39
20040102,0440,12.86,1004.03
20040102,0450,12.79,1000.88
20040102,0500,12.88,1000.92
20040102,0510,13.05,1005.82
20040102,0520,13.43,1004.67
20040102,0530,13.89,1018.45
20040102,0540,14.10,1021.19
20040102,0550,14.10,1021.39
20040102,0600,14.28,1020.54
20040102,0610,14.58,1022.78
20040102,0620,14.70,1021.18
20040102,0630,14.48,1008.84
20040102,0640,14.25,1004.94
20040102,0650,13.99,1004.31
20040102,0700,13.79,1020.06
20040102,0710,13.59,1017.54
20040102,0720,13.50,1017.40
20040102,0730,13.53,1020.06
20040102,0740,13.62,1020.10
20040102,0750,13.68,1022.64
20040102,0800,13.59,1018.44
20040102,0810,13.47,1017.00
20040102,0820,13.31,1011.47
20040102,0830,13.12,1005.61
20040102,0840,12.80,995.73
20040102,0850,12.38,973.36
20040102,0900,11.93,928.26
20040102,0910,11.35,859.58
20040102,0920,10.75,755.62
20040102,0930,10.31,693.06
20040102,0940,10.00,636.22
20040102,0950,9.90,626.45
20040102,1000,9.97,624.70
20040102,1010,10.08,663.57
20040102,1020,10.23,667.47
20040102,1030,10.40,685.90
20040102,1040,10.73,738.25
20040102,1050,11.28,794.62
20040102,1100,12.12,875.30
20040102,1110,13.02,925.01
20040102,1120,13.96,963.83
20040102,1130,14.69,978.27
20040102,1140,15.14,981.22
20040102,1150,15.21,978.96
20040102,1200,15.31,976.26
20040102,1210,15.33,960.42
20040102,1220,15.47,960.49
20040102,1230,15.53,998.96
20040102,1240,15.58,1000.88
20040102,1250,15.68,992.93
20040102,1300,15.49,994.72
20040102,1310,15.23,995.45
20040102,1320,15.58,997.57
20040102,1330,15.71,999.50
20040102,1340,15.81,1000.22
20040102,1350,15.60,1000.67
20040102,1400,15.50,1000.94
20040102,1410,15.19,1000.72
20040102,1420,15.24,1000.54
20040102,1430,15.77,1000.75
20040102,1440,16.18,981.30
20040102,1450,16.52,981.11
20040102,1500,16.52,981.34
20040102,1510,16.58,981.34
20040102,1520,16.49,1011.37
20040102,1530,16.17,966.08
20040102,1540,16.11,965.85
20040102,1550,16.45,965.95
20040102,1600,16.76,973.31
20040102,1610,17.14,973.37
20040102,1620,17.59,973.54
20040102,1630,17.84,973.50
20040102,1640,17.89,973.50
20040102,1650,18.01,973.39
20040102,1700,18.22,973.20
20040102,1710,18.33,972.92
20040102,1720,18.57,973.26
20040102,1730,18.95,973.22
20040102,1740,19.23,973.10
20040102,1750,19.45,927.61
20040102,1800,19.82,927.12
20040102,1810,20.25,926.91
20040102,1820,19.93,926.74
20040102,1830,18.72,925.92
20040102,1840,17.99,925.45
20040102,1850,17.46,918.04
20040102,1900,17.11,917.60
20040102,1910,16.91,997.21
20040102,1920,16.99,997.29
20040102,1930,16.79,996.76
20040102,1940,16.53,996.41
20040102,1950,16.39,996.73
20040102,2000,16.01,996.51
20040102,2010,15.64,959.29
20040102,2020,15.16,958.88
20040102,2030,14.85,956.64
20040102,2040,14.65,943.41
20040102,2050,14.37,940.45
20040102,2100,14.19,936.04
20040102,2110,14.00,934.05
20040102,2120,13.65,925.07
20040102,2130,13.20,911.40
20040102,2140,12.66,872.52
20040102,2150,12.21,827.37
20040102,2200,11.85,776.68
20040102,2210,11.51,763.70
20040102,2220,11.21,710.22
20040102,2230,10.97,716.38
20040102,2240,10.81,656.88
20040102,2250,10.81,666.02
20040102,2300,11.02,686.70
20040102,2310,11.14,685.10
20040102,2320,11.43,744.71
20040102,2330,11.59,761.06
20040102,2340,11.59,776.06
20040102,2350,11.52,762.95
20040103,0000,11.54,756.60
20040103,0010,11.36,717.98
20040103,0020,11.31,705.33
20040103,0030,11.10,672.39
20040103,0040,11.01,671.97
20040103,0050,10.94,653.63
20040103,0100,10.67,620.54
20040103,0110,10.56,605.07
20040103,0120,11.32,730.70
20040103,0130,12.16,807.33
20040103,0140,12.73,831.13
20040103,0150,13.07,847.34
20040103,0200,13.17,848.49
20040103,0210,12.91,844.61
20040103,0220,12.85,842.49
20040103,0230,12.83,840.34
20040103,0240,12.61,834.34
20040103,0250,12.40,819.92
20040103,0300,12.10,795.32
20040103,0310,11.73,764.34
20040103,0320,11.25,727.10
20040103,0330,11.01,685.62
20040103,0340,11.04,667.17
20040103,0350,11.17,716.83
20040103,0400,11.19,731.84
20040103,0410,10.97,684.43
20040103,0420,10.55,619.32
20040103,0430,10.17,551.33
20040103,0440,10.20,562.05
20040103,0450,10.54,628.78
20040103,0500,10.91,678.28
20040103,0510,11.11,704.87
20040103,0520,11.12,701.15
20040103,0530,10.97,677.58
20040103,0540,10.73,640.62
20040103,0550,10.58,605.39
20040103,0600,10.48,586.86
20040103,0610,10.29,543.39
20040103,0620,9.98,476.97
20040103,0630,9.62,395.01
20040103,0640,9.38,341.19
20040103,0650,9.22,302.37
20040103,0700,9.15,279.48
20040103,0710,9.36,318.34
20040103,0720,9.70,381.20
20040103,0730,9.65,362.71
20040103,0740,9.51,340.77
20040103,0750,9.32,297.11
20040103,0800,9.09,235.40
20040103,0810,8.85,193.51
20040103,0820,8.68,173.55
20040103,0830,8.59,173.36
20040103,0840,8.37,173.17
20040103,0850,8.26,172.99
20040103,0900,8.12,172.80
20040103,0910,7.98,172.62
20040103,0920,7.86,172.44
20040103,0930,7.70,172.25
20040103,0940,7.57,172.07
20040103,0950,7.43,171.89
20040103,1000,7.30,171.70
20040103,1010,7.21,171.52
20040103,1020,7.19,178.06
20040103,1030,7.28,194.68
20040103,1040,7.36,215.79
20040103,1050,7.39,219.67
20040103,1100,7.25,206.13
20040103,1110,6.95,186.10
20040103,1120,6.61,170.23
20040103,1130,6.31,170.05
20040103,1140,6.16,169.88
20040103,1150,6.09,169.71
20040103,1200,5.69,169.54
20040103,1210,5.28,169.38
20040103,1220,4.94,169.22
20040103,1230,4.41,169.06
20040103,1240,4.07,168.92
20040103,1250,3.68,168.77
20040103,1300,3.96,175.52
20040103,1310,4.37,184.78
20040103,1320,4.80,205.12
20040103,1330,5.36,232.93
20040103,1340,5.60,250.34
20040103,1350,5.48,239.89
20040103,1400,5.12,223.47
20040103,1410,4.85,210.72
20040103,1420,4.78,209.07
20040103,1430,5.01,221.64
20040103,1440,5.03,224.43
20040103,1450,5.05,228.48
20040103,1500,4.84,220.35
20040103,1510,4.61,213.09
20040103,1520,4.37,208.21
20040103,1530,4.37,213.33
20040103,1540,4.72,232.01
20040103,1550,5.01,252.62
20040103,1600,5.07,257.17
20040103,1610,4.96,249.32
20040103,1620,4.58,231.00
20040103,1630,3.96,204.62
20040103,1640,3.66,195.07
20040103,1650,3.57,192.91
20040103,1700,3.69,199.15
20040103,1710,3.85,207.32
20040103,1720,3.73,201.55
20040103,1730,3.69,198.81
20040103,1740,3.91,203.27
20040103,1750,4.02,205.69
20040103,1800,3.81,199.63
20040103,1810,3.67,197.31
20040103,1820,3.66,199.28
20040103,1830,3.83,206.01
20040103,1840,4.09,211.07
20040103,1850,4.35,226.72
20040103,1900,4.67,242.94
20040103,1910,4.95,261.26
20040103,1920,5.40,298.69
20040103,1930,5.85,330.71
20040103,1940,6.35,372.85
20040103,1950,6.85,428.04
20040103,2000,7.19,485.21
20040103,2010,7.51,532.38
20040103,2020,7.71,556.77
20040103,2030,7.96,594.85
20040103,2040,8.31,666.86
20040103,2050,8.76,716.28
20040103,2100,9.31,847.65
20040103,2110,9.99,984.76
20040103,2120,10.76,1109.12
20040103,2130,11.54,1248.15
20040103,2140,12.18,1237.20
