SITE NUMBER: 00172 RATED CAP: 1023.9 IEC CLASS: 2 LOSSES (%): 17.1
SITE LATITUDE:   45.87565 LONGITUDE: -103.30938
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,7.92,316.66
20040101,0020,7.08,220.27
20040101,0030,6.51,175.42
20040101,0040,6.23,156.52
20040101,0050,5.94,132.46
20040101,0100,5.71,107.92
20040101,0110,5.44,86.05
20040101,0120,5.39,78.67
20040101,0130,5.33,71.82
20040101,0140,5.22,62.84
20040101,0150,5.31,64.23
20040101,0200,5.52,73.87
20040101,0210,5.82,91.15
20040101,0220,6.40,130.88
20040101,0230,7.18,194.33
20040101,0240,7.86,268.19
20040101,0250,8.18,311.63
20040101,0300,8.25,305.64
20040101,0310,8.29,343.50
20040101,0320,8.65,405.33
20040101,0330,9.28,493.50
20040101,0340,9.99,594.97
20040101,0350,10.39,649.01
20040101,0400,10.58,677.29
20040101,0410,10.56,679.96
20040101,0420,10.43,669.77
20040101,0430,10.21,639.50
20040101,0440,9.83,570.23
20040101,0450,9.40,509.64
20040101,0500,8.82,428.45
20040101,0510,8.16,347.01
20040101,0520,7.48,269.91
20040101,0530,6.84,212.55
20040101,0540,6.21,161.57
20040101,0550,5.52,112.66
20040101,0600,4.90,77.50
20040101,0610,4.38,53.73
20040101,0620,4.09,43.14
20040101,0630,3.97,40.36
20040101,0640,3.93,41.64
20040101,0650,3.89,40.04
20040101,0700,3.89,29.69
20040101,0710,3.90,22.59
20040101,0720,3.91,17.59
20040101,0730,3.90,9.40
20040101,0740,3.89,3.78
20040101,0750,3.86,.00
20040101,0800,3.82,.00
20040101,0810,3.85,.00
20040101,0820,3.90,.00
20040101,0830,4.03,2.43
20040101,0840,4.11,5.38
20040101,0850,4.11,6.38
20040101,0900,4.03,4.01
20040101,0910,3.87,.00
20040101,0920,3.74,.00
20040101,0930,3.73,.00
20040101,0940,3.93,.08
20040101,0950,4.26,9.27
20040101,1000,4.68,20.96
20040101,1010,5.14,39.78
20040101,1020,5.66,69.78
20040101,1030,6.09,96.80
20040101,1040,6.40,121.10
20040101,1050,6.69,147.50
20040101,1100,7.09,189.19
20040101,1110,7.66,262.29
20040101,1120,8.20,330.76
20040101,1130,8.61,393.60
20040101,1140,8.81,427.88
20040101,1150,8.79,425.75
20040101,1200,8.36,369.26
20040101,1210,7.87,294.58
20040101,1220,7.37,245.67
20040101,1230,6.91,212.16
20040101,1240,6.45,180.29
20040101,1250,5.96,149.92
20040101,1300,6.75,218.38
20040101,1310,7.64,323.94
20040101,1320,8.81,465.50
20040101,1330,10.26,650.98
20040101,1340,11.40,778.03
20040101,1350,11.71,805.28
20040101,1400,12.19,840.04
20040101,1410,12.47,852.00
20040101,1420,12.67,860.74
20040101,1430,12.84,863.51
20040101,1440,12.94,868.35
20040101,1450,12.93,871.42
20040101,1500,12.87,876.70
20040101,1510,13.15,882.29
20040101,1520,13.84,890.44
20040101,1530,14.43,895.62
20040101,1540,14.68,900.12
20040101,1550,14.73,904.29
20040101,1600,14.66,907.87
20040101,1610,14.50,910.82
20040101,1620,14.16,912.47
20040101,1630,13.76,912.93
20040101,1640,13.31,909.68
20040101,1650,12.85,897.04
20040101,1700,12.35,884.56
20040101,1710,11.79,856.24
20040101,1720,11.31,818.27
20040101,1730,10.79,769.32
20040101,1740,10.31,703.57
20040101,1750,9.85,653.19
20040101,1800,9.50,584.94
20040101,1810,9.34,552.68
20040101,1820,9.12,509.95
20040101,1830,8.88,472.87
20040101,1840,8.81,468.89
20040101,1850,8.68,451.81
20040101,1900,8.49,438.95
20040101,1910,8.24,401.72
20040101,1920,7.66,335.15
20040101,1930,6.93,244.65
20040101,1940,6.28,176.35
20040101,1950,5.97,137.47
20040101,2000,5.94,119.32
20040101,2010,5.93,106.41
20040101,2020,5.96,97.95
20040101,2030,5.91,81.65
20040101,2040,5.62,50.21
20040101,2050,5.26,20.76
20040101,2100,4.90,.00
20040101,2110,4.64,.00
20040101,2120,4.60,.00
20040101,2130,4.63,.00
20040101,2140,4.58,.00
20040101,2150,4.51,.00
20040101,2200,4.43,.00
20040101,2210,4.32,.00
20040101,2220,4.26,.00
20040101,2230,4.24,.00
20040101,2240,4.16,.00
20040101,2250,4.25,6.84
20040101,2300,5.92,157.69
20040101,2310,7.95,253.23
20040101,2320,7.40,188.79
20040101,2330,7.70,221.29
20040101,2340,8.25,279.33
20040101,2350,8.10,261.12
20040102,0000,7.69,223.80
20040102,0010,7.31,201.72
20040102,0020,6.91,187.03
20040102,0030,6.53,163.37
20040102,0040,6.07,134.02
20040102,0050,5.68,111.04
20040102,0100,5.71,117.21
20040102,0110,6.00,140.87
20040102,0120,6.29,165.00
20040102,0130,6.66,196.97
20040102,0140,7.09,239.45
20040102,0150,7.81,312.38
20040102,0200,8.59,417.53
20040102,0210,9.80,594.02
20040102,0220,10.99,737.94
20040102,0230,11.98,814.86
20040102,0240,12.93,840.63
20040102,0250,13.80,853.13
20040102,0300,14.13,855.16
20040102,0310,13.68,854.57
20040102,0320,13.51,857.16
20040102,0330,13.97,863.68
20040102,0340,14.35,868.82
20040102,0350,14.66,872.84
20040102,0400,14.71,876.67
20040102,0410,14.61,880.49
20040102,0420,14.72,885.20
20040102,0430,14.87,889.36
20040102,0440,14.82,880.59
20040102,0450,14.56,883.47
20040102,0500,14.27,885.89
20040102,0510,14.04,887.52
20040102,0520,13.91,888.29
20040102,0530,13.49,889.05
20040102,0540,13.09,885.29
20040102,0550,12.74,882.98
20040102,0600,12.52,882.27
20040102,0610,12.32,875.72
20040102,0620,12.09,876.17
20040102,0630,11.59,851.72
20040102,0640,11.12,817.45
20040102,0650,11.04,810.63
20040102,0700,10.88,801.74
20040102,0710,10.66,768.09
20040102,0720,10.57,757.68
20040102,0730,10.53,750.14
20040102,0740,10.40,724.22
20040102,0750,10.19,682.74
20040102,0800,10.03,659.00
20040102,0810,9.98,644.00
20040102,0820,10.13,664.09
20040102,0830,10.34,685.06
20040102,0840,10.54,710.39
20040102,0850,10.77,723.58
20040102,0900,11.05,762.11
20040102,0910,11.12,776.01
20040102,0920,10.88,743.28
20040102,0930,10.64,710.80
20040102,0940,10.42,677.98
20040102,0950,10.31,669.03
20040102,1000,10.22,665.70
20040102,1010,10.29,671.64
20040102,1020,10.53,705.08
20040102,1030,10.98,768.78
20040102,1040,11.44,821.12
20040102,1050,11.82,845.74
20040102,1100,11.97,847.06
20040102,1110,11.81,821.86
20040102,1120,11.76,811.51
20040102,1130,11.73,836.97
20040102,1140,11.85,853.52
20040102,1150,12.10,878.60
20040102,1200,12.01,878.65
20040102,1210,12.02,894.12
20040102,1220,11.96,902.68
20040102,1230,11.90,914.53
20040102,1240,11.80,917.46
20040102,1250,11.76,922.49
20040102,1300,12.73,961.20
20040102,1310,13.26,973.05
20040102,1320,13.67,977.54
20040102,1330,14.72,977.54
20040102,1340,15.43,977.54
20040102,1350,15.71,977.54
20040102,1400,15.74,977.35
20040102,1410,15.84,976.99
20040102,1420,16.11,976.87
20040102,1430,16.26,976.56
20040102,1440,16.57,975.99
20040102,1450,16.95,975.56
20040102,1500,17.35,975.92
20040102,1510,17.50,976.45
20040102,1520,17.57,976.96
20040102,1530,17.56,944.81
20040102,1540,17.34,945.29
20040102,1550,16.84,945.67
20040102,1600,16.25,915.95
20040102,1610,16.01,916.07
20040102,1620,15.88,916.18
20040102,1630,15.85,916.19
20040102,1640,16.03,916.32
20040102,1650,16.18,973.51
20040102,1700,16.35,973.40
20040102,1710,16.34,972.99
20040102,1720,16.18,910.40
20040102,1730,16.01,910.52
20040102,1740,15.89,910.73
20040102,1750,15.94,951.55
20040102,1800,15.86,952.80
20040102,1810,15.55,953.48
20040102,1820,15.23,953.52
20040102,1830,15.02,953.99
20040102,1840,14.89,953.44
20040102,1850,14.89,962.29
20040102,1900,14.88,963.58
20040102,1910,14.84,964.14
20040102,1920,14.79,965.15
20040102,1930,14.66,965.36
20040102,1940,14.40,965.36
20040102,1950,14.21,964.91
20040102,2000,14.16,965.96
20040102,2010,14.05,965.73
20040102,2020,13.94,965.97
20040102,2030,13.83,965.90
20040102,2040,13.70,965.69
20040102,2050,13.54,963.48
20040102,2100,13.37,962.83
20040102,2110,13.31,961.38
20040102,2120,13.41,963.05
20040102,2130,13.58,964.14
20040102,2140,13.77,947.74
20040102,2150,13.92,947.75
20040102,2200,14.03,948.22
20040102,2210,14.11,948.42
20040102,2220,13.99,964.00
20040102,2230,13.93,971.86
20040102,2240,13.89,972.55
20040102,2250,13.87,937.44
20040102,2300,13.81,938.22
20040102,2310,13.79,938.20
20040102,2320,13.73,938.02
20040102,2330,13.66,936.59
20040102,2340,13.58,973.15
20040102,2350,13.53,971.95
20040103,0000,13.51,974.61
20040103,0010,13.43,976.45
20040103,0020,13.29,978.37
20040103,0030,13.37,978.39
20040103,0040,13.20,978.41
20040103,0050,13.14,978.43
20040103,0100,13.13,968.14
20040103,0110,13.19,957.51
20040103,0120,12.82,952.76
20040103,0130,12.72,952.66
20040103,0140,12.65,949.30
20040103,0150,12.49,948.74
20040103,0200,12.15,937.81
20040103,0210,11.63,920.87
20040103,0220,11.22,887.10
20040103,0230,10.90,863.20
20040103,0240,10.51,814.84
20040103,0250,10.11,776.59
20040103,0300,9.70,711.11
20040103,0310,9.36,661.53
20040103,0320,9.13,600.34
20040103,0330,8.93,593.52
20040103,0340,8.68,554.77
20040103,0350,8.48,523.02
20040103,0400,8.29,475.23
20040103,0410,8.20,464.09
20040103,0420,8.15,453.17
20040103,0430,8.14,457.14
20040103,0440,8.10,441.79
20040103,0450,8.02,436.25
20040103,0500,7.86,402.48
20040103,0510,7.67,369.65
20040103,0520,7.47,345.28
20040103,0530,7.11,298.91
20040103,0540,6.75,259.41
20040103,0550,6.44,229.92
20040103,0600,6.19,200.65
20040103,0610,6.03,185.51
20040103,0620,5.98,176.61
20040103,0630,5.94,167.33
20040103,0640,5.98,165.48
20040103,0650,6.06,166.01
20040103,0700,6.21,169.16
20040103,0710,6.29,173.96
20040103,0720,6.21,160.18
20040103,0730,6.11,153.80
20040103,0740,5.90,131.83
20040103,0750,5.67,107.24
20040103,0800,5.36,79.98
20040103,0810,4.99,52.26
20040103,0820,4.79,37.51
20040103,0830,4.60,22.23
20040103,0840,4.12,.00
20040103,0850,3.41,.00
20040103,0900,2.67,.00
20040103,0910,1.95,.00
20040103,0920,1.21,.00
20040103,0930,.55,.00
20040103,0940,.79,.00
20040103,0950,1.39,.00
20040103,1000,1.80,.00
20040103,1010,2.07,.00
20040103,1020,2.37,.00
20040103,1030,2.69,.00
20040103,1040,2.93,.00
20040103,1050,3.03,.00
20040103,1100,3.14,.00
20040103,1110,3.30,.00
20040103,1120,3.45,.00
20040103,1130,3.55,.00
20040103,1140,3.64,.00
20040103,1150,3.77,.00
20040103,1200,3.99,5.90
20040103,1210,4.28,11.93
20040103,1220,4.53,20.85
20040103,1230,4.83,31.94
20040103,1240,5.07,41.63
20040103,1250,5.34,53.17
20040103,1300,6.02,100.21
20040103,1310,6.49,138.23
20040103,1320,6.92,179.09
20040103,1330,6.95,184.28
20040103,1340,6.70,172.64
20040103,1350,6.13,128.58
20040103,1400,5.93,113.25
20040103,1410,5.88,110.10
20040103,1420,5.94,116.05
20040103,1430,5.95,120.24
20040103,1440,5.88,121.52
20040103,1450,5.83,123.23
20040103,1500,5.59,111.97
20040103,1510,5.45,101.08
20040103,1520,5.08,79.04
20040103,1530,4.68,57.89
20040103,1540,4.35,41.40
20040103,1550,3.95,27.18
20040103,1600,3.44,15.46
20040103,1610,2.98,6.75
20040103,1620,2.97,4.40
20040103,1630,3.36,7.45
20040103,1640,3.70,15.18
20040103,1650,3.57,10.40
20040103,1700,3.18,.96
20040103,1710,2.87,.00
20040103,1720,2.88,.00
20040103,1730,2.90,.00
20040103,1740,2.87,.00
20040103,1750,2.89,.00
20040103,1800,3.04,.00
20040103,1810,3.27,.00
20040103,1820,3.36,1.36
20040103,1830,3.25,.00
20040103,1840,3.18,.00
20040103,1850,3.18,.00
20040103,1900,3.18,.00
20040103,1910,3.26,.00
20040103,1920,3.45,4.17
20040103,1930,3.65,9.81
20040103,1940,3.79,13.09
20040103,1950,3.86,16.26
20040103,2000,3.90,17.92
20040103,2010,3.89,13.85
20040103,2020,3.96,18.79
20040103,2030,4.09,23.80
20040103,2040,4.24,28.66
20040103,2050,4.41,44.24
20040103,2100,4.58,45.82
20040103,2110,4.79,62.62
20040103,2120,4.99,73.24
20040103,2130,5.17,84.14
20040103,2140,5.29,88.62
20040103,2150,5.30,91.41
20040103,2200,5.19,88.80
20040103,2210,5.10,83.96
20040103,2220,4.78,64.21
20040103,2230,4.38,45.21
20040103,2240,3.98,29.82
20040103,2250,3.66,18.30
20040103,2300,3.44,11.52
20040103,2310,3.20,6.65
20040103,2320,3.00,3.79
20040103,2330,2.70,.12
20040103,2340,2.32,.00
20040103,2350,1.95,.00
20040104,0000,2.18,.00
20040104,0010,2.28,.00
20040104,0020,2.53,.00
20040104,0030,2.75,.00
20040104,0040,2.99,.00
20040104,0050,3.11,.00
20040104,0100,3.37,.00
20040104,0110,3.50,.00
20040104,0120,3.45,4.81
20040104,0130,3.30,13.28
20040104,0140,3.19,20.21
20040104,0150,3.24,25.99
