"file" "distance"
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00029.CSV" 4.24651941893594
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00247.CSV" 4.25145319111008
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00096.CSV" 4.2639805999676
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00242.CSV" 4.26764272221797
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00161.CSV" 4.28132368756439
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00217.CSV" 4.33070474963372
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00308.CSV" 4.33775924911699
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00266.CSV" 4.34806605860583
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00126.CSV" 4.42341710948674
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00303.CSV" 4.4242808701302
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00269.CSV" 4.48010601014083
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00225.CSV" 4.49716587807255
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00245.CSV" 4.5098935733119
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00110.CSV" 4.52882221810483
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00111.CSV" 4.53122592032223
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00223.CSV" 4.59473770255714
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00054.CSV" 4.60810805942092
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00158.CSV" 4.61628869045254
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00130.CSV" 4.64655976185608
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00095.CSV" 4.66861378510796
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00310.CSV" 4.68102631982561
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00160.CSV" 4.70707223170625
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00035.CSV" 4.76871123635098
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00180.CSV" 4.8365513662216
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00076.CSV" 4.85358833484053
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00320.CSV" 4.90545129623157
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00259.CSV" 4.92678300405042
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00149.CSV" 4.97830940706783
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00085.CSV" 4.99172686517401
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00162.CSV" 4.99871665763324
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00044.CSV" 4.99906740202611
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00317.CSV" 5.06998915233555
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00141.CSV" 5.09972872553041
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00088.CSV" 5.14260726686377
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00080.CSV" 5.14556355043838
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00309.CSV" 5.18587049250172
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00292.CSV" 5.25213098516213
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00202.CSV" 5.26217206712209
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00108.CSV" 5.26624524192523
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00272.CSV" 5.27732906687655
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00040.CSV" 5.31746953721412
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00128.CSV" 5.43524367255048
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00183.CSV" 5.43939824219556
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00275.CSV" 5.4475930937984
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00273.CSV" 5.48978912983914
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00177.CSV" 5.53148438124886
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00176.CSV" 5.56173289560907
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00226.CSV" 5.58204277952973
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00270.CSV" 5.60712655153243
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00274.CSV" 5.67067361264956
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00248.CSV" 5.75793094048549
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00229.CSV" 5.78403291451561
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00228.CSV" 5.9284819736
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00164.CSV" 6.18444713041514
